0,1,699.00,1325.00,30.00,29.00,1,-1,-1,-1
0,2,804.00,1324.00,30.00,29.00,1,-1,-1,-1
1,1,699.00,1325.00,30.00,29.00,1,-1,-1,-1
1,2,804.00,1324.00,30.00,29.00,1,-1,-1,-1
2,1,699.00,1325.00,30.00,29.00,1,-1,-1,-1
2,2,804.00,1323.22,30.00,29.00,1,-1,-1,-1
3,1,699.00,1325.00,30.00,29.00,1,-1,-1,-1
3,2,804.00,1323.74,30.00,29.00,1,-1,-1,-1
4,1,699.00,1325.00,30.00,29.00,1,-1,-1,-1
4,2,804.00,1323.19,30.00,29.00,1,-1,-1,-1
5,1,699.00,1325.00,30.00,29.00,1,-1,-1,-1
5,2,804.00,1323.72,30.00,29.00,1,-1,-1,-1
6,1,699.00,1325.00,30.00,29.00,1,-1,-1,-1
6,2,804.00,1323.21,30.00,29.00,1,-1,-1,-1
7,1,699.00,1325.00,30.00,29.00,1,-1,-1,-1
7,2,804.00,1323.72,30.00,29.00,1,-1,-1,-1
8,1,699.68,1325.00,30.00,29.00,1,-1,-1,-1
8,2,804.00,1323.23,30.00,29.00,1,-1,-1,-1
9,1,699.26,1325.00,30.00,29.00,1,-1,-1,-1
9,2,804.00,1323.72,30.00,29.00,1,-1,-1,-1
10,1,699.09,1325.00,30.00,29.00,1,-1,-1,-1
10,2,804.00,1323.91,30.00,29.00,1,-1,-1,-1
11,1,699.70,1325.00,30.00,29.00,1,-1,-1,-1
11,2,804.00,1323.31,30.00,29.00,1,-1,-1,-1
12,1,699.26,1325.00,30.00,29.00,1,-1,-1,-1
12,2,804.00,1323.09,30.00,29.00,1,-1,-1,-1
13,1,699.09,1325.00,30.00,29.00,1,-1,-1,-1
13,2,804.00,1323.00,30.00,29.00,1,-1,-1,-1
14,1,699.69,1325.00,30.00,29.00,1,-1,-1,-1
14,2,804.00,1322.98,30.00,29.00,1,-1,-1,-1
15,1,699.26,1325.00,30.00,29.00,1,-1,-1,-1
15,2,804.00,1322.97,30.00,29.00,1,-1,-1,-1
16,1,699.09,1325.00,30.00,29.00,1,-1,-1,-1
16,2,804.00,1322.97,30.00,29.00,1,-1,-1,-1
